State	2004-05	2005-06	2006-07	  2007-08 	2008-09	2009-10	2010-11	2011-12	2012-13	2013-14	2014-15	2015-16
New York	6234.74124604013	6114.1347185261	5911.81726781327	5815.68748919827	5556.12342928843	6361.12188938059	6341.52690460573	6553.63096998079	6835.5312347231	7076.29310763968	7305.82205325336	7643.52509974724
North Carolina	4493.34827877508	4464.07558853634	4769.56175921376	4933.48115218435	4764.09646123911	5030.1624139196	5827.02359972662	6009.60776728251	6459.48326524199	6657.22580835635	6684.52250994772	6973.06609191694
North Dakota	5803.80318901795	6197.18728761515	6464.18107125307	6648.62775804129	6625.9023203797	7020.50647547492	7191.00470159763	7247.65668682112	7298.03898666108	7431.14783903995	7526.61442957834	7687.69821692424
Ohio	10377.934353284	10186.4063431718	9903.03111744254	9695.10392702832	9194.02264006837	9425.32084828954	9913.49346592603	9980.44896911323	10175.1705426357	10156.8209224001	10103.8135777542	10195.895607219
Oklahoma	4454.28664202746	4638.73025588536	5197.61438820639	5720.59252040326	6120.30702296739	6007.60309448296	6294.45532564871	6413.13565743929	6669.90345869125	6725.54017192075	7093.63555975832	7449.69806417608
Oregon	6578.73565997888	6631.99191402252	6539.23687469288	6812.46607777244	6769.1181556982	7653.2940362478	8137.90972015174	8444.50773275732	8658.47845519938	8786.48634336655	8949.34458458254	9371.34611966592
Pennsylvania	10394.1755332629	10556.22580348	10614.5324520885	11218.9148727796	11232.6783564583	11928.7658566712	12403.9083991175	12766.0590380751	12892.9244273343	13079.1987362797	13157.0573964963	13394.7775503763
Rhode Island	7475.89325237592	7864.34547594677	7959.43340540541	8273.26228516563	8383.55120837955	9423.10442951275	10201.3963790818	10578.3463142146	11376.232339898	11131.5155908895	10977.2871136685	11390.1183970856
South Carolina	8330.20904963041	9019.75327533265	9279.94644717445	9590.8431781085	9907.93187976214	10550.1533775093	11015.8441638266	10939.6199750356	11191.8542495984	11407.3737152424	11469.8055657889	11816.0259253165
South Dakota	5478.70956705385	5609.71249744115	5827.37948894349	6121.59540086414	6182.1502245822	6683.6108214032	6916.23804303453	7175.82449695027	7695.9623227879	7809.31114318027	7713.28948605124	8054.91280026324
Tennessee	5425.78734952482	5817.34392016377	5832.07047665848	6146.80129620739	6169.13060318961	6757.86085042558	7139.55437110971	7574.07060844008	7995.967351072	8210.00164386376	8940.6029527652	9263.47911078784
Texas	6394.76795142555	6577.03065506653	7018.89036855037	7389.9102256361	7506.89670127839	8120.95839815	8477.26296379541	8506.83272102761	8691.81234723095	8705.02033153768	8852.04278449323	9116.73264268061
Utah	4125.41286166843	4376.13757420676	4475.20228009828	4650.48769083053	4638.24012111073	5067.84153312499	5381.48563145896	5598.68538699197	5845.93131503597	6041.94203280214	6171.25782486263	6362.68237740426
Vermont	11067.0437275607	11295.1493961105	11472.9832039312	12012.9005760922	12304.6271844484	13316.2440109403	13655.1366490682	13832.9783288037	14088.7778039668	14266.8899170288	14501.022155265	14993.0265328568
Virginia	7029.83456177402	7356.25917093142	7688.52886486487	8029.2233893423	8225.14581476969	8794.74970629345	9643.10555889382	10072.3519179186	10313.7145313919	10590.4525933663	11202.4003394382	11818.6928526734
Washington	6191.89945089757	6414.58960081883	6649.47508599509	6858.29497839654	6979.60203487843	8113.20093243124	8973.15657466825	10029.0413328494	11036.6433148265	11045.0880751383	10703.3715022362	10288.352635519
West Virginia	4575.25171066526	4727.88963152508	4885.66370515971	5048.0534037446	5106.94649124402	5518.88275420128	5720.83887510263	5847.98534007312	6130.31108143027	6388.32462754038	6697.95528203736	7171.45096634045
Wisconsin	6574.95550158395	6871.3787308086	7085.73694348894	7347.51849255881	7373.44558200433	7944.75310539538	8441.1382636656	8658.94794663645	9052.23505482226	8930.73396661555	8785.10291434879	8815.26066785057
Wyoming	4086.3512249208	4188.04793244626	4122.20545454546	4071.89782045127	3928.67075521449	4129.18818115542	4298.83931544739	4357.46740025319	4456.32469097004	4499.35879039025	4653.87796977274	4890.9997582205
